Title,NARelease,EURelease,Publisher
10-Yard Fight,18-Oct-85,6-Dec-85,Nintendo
1942,Nov-86,Unreleased,Capcom
1943: The Battle of Midway,Oct-88,Unreleased,Capcom
The 3-D Battles of WorldRunner,Sep-87,Unreleased,Acclaim Entertainment
720°,Nov-89,Unreleased,Mindscape
8 Eyes,Jan-90,Unreleased,Taxan
Abadox,Mar-90,6-Apr-88,Milton Bradley Company
The Addams Family,Jan-92,Dec-92,Ocean Software
The Addams Family: Pugsley's Scavenger Hunt,Aug-93,1992,Ocean Software
Advanced Dungeons & Dragons: DragonStrike,Jul-92,Unreleased,FCI
Advanced Dungeons & Dragons: Heroes of the Lance,Jan-91,Unreleased,FCI
Advanced Dungeons & Dragons: Hillsfar,Feb-93,Unreleased,FCI
Advanced Dungeons & Dragons: Pool of Radiance,Apr-92,Unreleased,FCI
Adventure Island,Sep-88,1992,Hudson Soft
Adventure Island II,Feb-91,22-Jul-92,Hudson Soft (NA/EU)
,,,Mattel (AU)
Adventure Island 3,Sep-92,Unreleased,Hudson Soft
Adventures in the Magic Kingdom,Jun-90,10-Dec-92,Capcom
The Adventures of Bayou Billy,Jun-89,24-Jan-91,Konami
Adventures of Dino Riki,Sep-89,Unreleased,Hudson Soft
The Adventures of Gilligan's Island,Jul-90,Unreleased,Bandai
Adventures of Lolo,Apr-89,Unreleased,HAL America
Adventures of Lolo 2,Mar-90,21-Feb-91,HAL America
Adventures of Lolo 3,Sep-91,27-May-92,HAL America
The Adventures of Rad Gravity,Dec-90,30-May-91,Activision (NA)
,,,Mattel (AUS)
The Adventures of Rocky and Bullwinkle and Friends,Dec-92,Unreleased,THQ
The Adventures of Tom Sawyer,Aug-89,Unreleased,SETA
Air Fortress,Sep-89,Unreleased,HAL America
Airwolf,Jun-89,1988,Acclaim Entertainment
Al Unser Jr.'s Turbo Racing (NA),Mar-90,1991,Data East
Turbo Racing (EU),,,
Alfred Chicken,Feb-94,1993,Mindscape
Alien3,Mar-93,Unreleased,LJN
All-Pro Basketball,Dec-89,Unreleased,Vic Tokai
Alpha Mission,Oct-87,Unreleased,SNK
Amagon,Apr-89,Unreleased,American Sammy
American Gladiators,Oct-91,Unreleased,GameTek
Anticipation,Nov-88,25-Oct-89,Nintendo
Arch Rivals,Nov-90,Unreleased,Acclaim Entertainment
Archon,Dec-89,Unreleased,Activision
Arkanoid,Aug-87,Unreleased,Taito
Arkista's Ring,Jun-90,Unreleased,American Sammy
Asterix,Unreleased,1993,Infogrames (EU)
Astyanax,Mar-90,Unreleased,Jaleco
Athena,Aug-87,Unreleased,SNK
Athletic World,18-Jun-87,15-Jun-88,Bandai (NA)
,,,Nintendo (EU)
Attack of the Killer Tomatoes,Jan-92,Unreleased,THQ
Aussie Rules Footy,Unreleased,1991,Laser Beam Entertainment (AU)
Back to the Future,Sep-89,Unreleased,LJN
Back to the Future Part II & III,Sep-90,Unreleased,LJN
Bad Dudes (NA),Aug-89,1990,Data East (NA)
Bad Dudes Vs. DragonNinja (EU),,,Ocean Software (EU)
Bad News Baseball,Jun-90,Unreleased,Tecmo
Bad Street Brawler,Sep-89,Unreleased,Mattel
